NAME,atrib1,atrib2,Latitude,Longtude
Shewarobit Tap,132/15,NER,10.00117,39.93466
Shewarobit ss,132/15,NER,9.99424,39.89964
Gida Ayana ss,132/33,WR,9.85817,36.63394
GebreGuracha,230/33/15,CR,9.79915,38.43954
Lonnis TS ??,230/15,ER,9.79176,41.85116
Mendi ss,132/33,WR,9.79082,35.09866
Neshi,230/13.8,WR,9.78866,37.26931
Debre Birhan,132/33/15,CR,9.66075,39.53157
Hurso TS,230/15,ER,9.61798,41.62984
Hurso ss,230/132/33/15,ER,9.61405,41.63934
Dire Dawa III,230/132/33/15,ER,9.60506,41.83656
Dire Dawa II,230/15,ER,9.59853,41.87939
Dire Dawa I,132/15,ER,9.58279,41.85491
Finchaa PP SY,230/13.8,WR,9.55983,37.41241
Fincha II ss,230/33/15,WR,9.55982,37.36445
Gota TS ,230/15,ER,9.51059,41.3017
Mugher,132/15,CR,9.4792,38.35339
Afdem TS,230/15,ER,9.47556,41.00928
Derba ss,132/33/15,CR,9.47412,38.6501
Dangote,132/15,CR,9.41826,38.34205
Jijiga II,132/33/15,ER,9.34995,42.7726
Harar III,132/66/15,ER,9.3235,42.09439
Chancho,230/33/15,CR,9.30572,38.77195
Miesso TS,230/15,ER,9.2129,40.72619
Ghimbi ss,132/33/15,WR,9.16465,35.85315
SULULTA,400/230/132/33,AAR,9.1397,38.74595
Asebe Tefri II,132/15,ER,9.10934,40.8563
Minilik(Egziabiherab) GIS,132/15,AAR,9.06994,38.74195
GEFARSSA,230/132/15,AAR,9.06799,38.65813
Nekemt ss,132/33/15,WR,9.05885,36.50538
ADDIS NORTH,132/15,AAR,9.05779,38.74748
Addis West ,132/15,AAR,9.05224,38.71125
Sirba Kunkur TS??,230/15,ER,9.04812,40.42265
ADDIS EAST II,132/15,AAR,9.04506,38.78201
LEGATAFO,230/132/15,AAR,9.04172,38.87957
Guder/Hormat/,132/15,CR,9.03416,37.74146
COTOBIE II,230/132/15,AAR,9.03284,38.82355
COTOBIE I,230/132/15,AAR,9.03262,38.8237
Dedesa,500/132/33/15,WR,9.02925,36.16697
