NAME,Latitude,Longtude,Maximum Height,Description 
AdamiTulu,7.86734,38.72057,10,EEP Station
ADDIS CENTER,9.00983,38.74515,10,EEP Station
ADDIS EAST I,9.02034,38.78638,10,EEP Station
ADDIS EAST II,9.04506,38.78201,10,EEP Station
ADDIS NORTH,9.05779,38.74748,10,EEP Station
Addis South 2(gofa),8.96356,38.74573,10,EEP Station
Addis West ,9.05224,38.71125,10,EEP Station
Adigala,10.41869,42.23984,10,EEP Station
Adigala TS,10.4749,42.17566,10,EEP Station
Adigrat ,14.23497,39.49529,10,EEP Station
Adwa,14.15175,38.87395,10,EEP Station
Afdem TS,9.47556,41.00928,10,EEP Station
Agaro ,7.84909,36.59924,10,EEP Station
Akesta,10.88918,39.16831,10,EEP Station
Alaba,7.2951,38.08931,10,EEP Station
Alamata,12.42239,39.57262,10,EEP Station
Alemketema,10.06173,38.97711,10,EEP Station
Ali Sabieh TS (Djibouti),11.15596,42.74563,10,EEP Station
Arba Minch,6.03722,37.56296,10,EEP Station
Asebe Tefri II,9.10934,40.8563,10,EEP Station
Asela,7.98196,39.13451,10,EEP Station
Ashegoda,13.44023,39.59908,10,EEP Station
Assosa ss,10.06797,34.55768,10,EEP Station
Awasa,7.03514,38.51063,10,EEP Station
Awash 7 killo,9.00199,40.1763,10,EEP Station
Awash II,8.3932,39.352,10,EEP Station
Awash III,8.38216,39.36058,10,EEP Station
Awash TS ,9.00387,40.1553,10,EEP Station
Ayat GIS,9.02664,38.86786,10,EEP Station
Ayisha TS,10.7177,42.5192,10,EEP Station
Bahr Dar II,11.56552,37.37819,10,EEP Station
Bedelle ,8.43443,36.32741,10,EEP Station
Bekuluguma,3.87241,38.67897,10,EEP Station
Beles SY,11.82003,36.92118,10,EEP Station
Bonga ,7.29031,36.23663,10,EEP Station
Butajira,8.12812,38.3916,10,EEP Station
Chancho,9.30572,38.77195,10,EEP Station
Combolcha I,11.07948,39.72377,10,EEP Station
Combolcha-II,11.03824,39.75469,10,EEP Station
