name,Lat,Longitude,Height,Description
Adi-Shihu,12.92702734,39.52712947,2,9 to 10
Selewa/K/ Demtsu Amare,13.0070998,39.3413185,2,9 to 12
Bora,12.89895264,39.33353381,2,9 to 12
Mesenado Meles Zenawi,12.92746676,39.5264958,2,11 to 12
Betmera,13.02553992,39.52468163,2,9 to 12
Tekea,12.91730362,39.48317098,2,9 to 10
Timuga (WajaSr.S.),12.3126457,39.5970018,2,9 to 12
merewa,12.3506089,39.3294702,2,9 to 12
Kilisha,12.3558533,39.5843089,2,9 to 10
Wedi Semro,12.7609133,39.345995,2,9 to 10
Haya,12.6953,39.5462,2,9 to 10
Shibta,12.7891,39.4981,2,9 to 10
Millennium Ofla,12.5740634,39.347094,2,9 to 12
Hashenge,12.6236176,39.5284036,2,9 to 10
Fala,12.4987095,39.397272,2,9 to 10
Chercher Sr.,12.5395263,39.7689905,2,9 to 12
Mokhoni Sec.,12.7748489,39.6500423,2,9 to 10
Fenkl Preparatory,12.793926,39.6391902,2,11 to 12
Bala,12.4357079,39.7430528,2,9 to 10
Kukufto Secondery,12.6262163,39.6477125,2,9 to 10
Tadagiwa-Ethiopia,12.4213424,39.5587665,2,9 to 10
Hedase/Eyasu Berhe/,12.4241066,39.5777429,2,11 to 12
Alamata 2 scender school,12.4173662,39.5661155,2,9 to 10
Tilahun-Gizaw Sr.,12.7804122,39.5367141,2,9 to 10
Maichew Mesenado,12.7796186,39.5482081,2,11 to 12
Maichew Kalay Birki,12.797868,39.5473778,2,9 to 10
Bet-Hintset,12.7770832,39.5450873,2,1 to 10
Korem,12.5156391,39.5148156,2,9 to 10
Biruh-Tesfa preparatory school,12.5154902,39.5144115,2,11 to 12
Mayqiha/Beatiakor/,13.8005417,39.4479033,2,9 to 10
Yechila,13.2843764,38.9927597,2,9 to 10
Ageba (Sale),13.5415018,39.0267051,2,9 to 12
Jijiqa,13.5063267,38.858345,2,9 to 12
Selam,13.5412183,38.9326733,2,9 to 10
Yechila Mesnadao,13.2858078,38.992417,2,11 to 12
Tekeze,13.3748205,38.7872862,2,9 to 10
Aba-Hilemariyam,14.1017817,38.9653133,2,9 to 12
Yiha,14.2799183,39.016105,2,9 to 12
Mai-dae,14.2437067,38.88126,2,9 to 10
Enticho Sr.,14.2776849,39.1595023,2,9 to 10
Lidiya,14.172723,39.102159,2,9 to 10
Egela,14.4915586,39.1689883,2,9 to 10
Hahayile Mesen,14.1647498,39.1119802,2,11 to 12
Ftwi Welay Mezber,14.2736274,39.1117307,2,9 to 12
Mesenado /Enticho /,14.2772849,39.1582962,2,11 to 12
desta-g/susa,14.1823376,39.1855247,2,9 to 10
Egela mesenado,14.4899607,39.1680988,2,11 to 12
Birhan-Ahferom,14.2044,39.2537,2,9 to 10
Sero,14.329493,39.2249928,2,9 to 10
Dbdbo Secondery,14.2707855,39.0954905,2,9 to 10
Werk-Amba,13.73843859,39.006019,2,9 to 12
Guya,13.61935536,38.81342719,2,9 to 10
Amora,13.69697837,38.80372578,2,9 to 10
Tsetsera,13.72676779,38.90115213,2,9 to 10
Gebresilasse Abrha,13.73728283,39.1016878,2,9 to 10
Suhul Micael/Mahberedego,14.0266624,38.7858197,2,9 to 12
Debre-kal,14.0511941,38.7184951,2,9 to 10
Rama,14.4033623,38.7901507,2,9 to 10
Ahesea,14.3417945,38.964597,2,9 to 12
Maye wediambera(Fre seweat),14.4041374,38.7527149,2,9 to 10
MayTiringi,13.9766312,38.7628313,2,1 to 10
Kinfe G/medhin (Naeder Adet),13.8812833,38.652415,2,9 to 12
Daero-hafash,13.8870039,38.6465938,2,9 to 10
Adilaken (Lahimet),13.883756,38.6462125,2,9 to 10
Jira,13.7684993,38.6323253,2,9 to 10
Wukro Maray Sr.,14.1145013,38.5961052,2,9 to 10
wukromaray,14.1225046,38.5934814,2,11 to 12
Edaga berhr,13.9904972,38.6475769,2,9 to 10
Mai astim,14.0723533,38.5475317,2,9 to 10
Werie Sr.S,14.0474076,39.0665116,2,9 to 10
Emba Seneiti,14.10493,39.2634317,2,9 to 10
Millennium2000 / Mai kental/,13.9346113,38.9880576,2,9 to 10
Werie mesenado,14.0464962,39.0651963,2,11 to 12
Gelfand Family School,13.9304716,38.9969192,2,11 to 12
